fk_film,fk_genre
1,1
1,2
2,1
2,3
2,4
3,1
3,2
4,5
4,2
4,1
5,1
6,1
6,6
6,7
7,1
7,2
8,1
8,2
9,3
9,1
9,7
10,3
10,1
11,8
11,9
11,5
12,10
12,11
12,8
13,2
13,1
14,10
14,11
14,8
15,1
15,2
16,8
16,1
16,2
16,5
17,5
17,2
17,12
17,1
18,13
19,8
19,9
20,1
21,13
22,11
22,8
22,1
22,10
23,1
23,14
24,13
24,11
24,8
25,1
25,15
26,11
26,8
26,1
26,10
27,12
27,9
28,9
28,5
28,8
28,11
28,12
29,1
29,7
29,8
30,1
30,7
30,8
31,8
31,5
32,1
32,3
32,2
33,1
33,15
34,3
35,1
35,2
35,5
36,3
37,1
37,7
38,3
38,1
39,9
39,11
39,10
39,8
40,1
40,2
40,5
41,3
42,13
42,1
42,2
42,7
43,10
43,11
43,8
44,11
44,3
44,9
45,8
45,9
45,5
45,11
46,8
46,11
46,1
47,1
47,7
48,2
48,1
49,1
49,7
49,15
50,1
50,12
50,5
50,3
51,11
51,1
51,13
52,3
53,1
53,5
53,12
54,13
54,11
54,1
55,1
55,2
56,5
56,1
57,1
57,5
58,1
58,2
59,1
59,6
59,15
59,7
60,1
61,1
62,8
62,1
62,2
62,5
63,3
63,4
63,1
63,15
64,12
64,5
65,5
65,1
65,9
66,1
66,15
67,16
67,11
67,3
68,16
68,11
68,3
69,12
69,1
69,5
70,8
70,2
70,5
71,1
72,3
72,4
73,16
73,11
73,3
74,9
74,11
74,10
74,8
75,3
75,1
76,3
76,2
76,4
77,1
77,6
77,12
78,1
78,2
78,7
79,1
80,1
80,2
80,7
81,16
81,3
81,10
81,11
82,3
83,2
83,1
83,5
84,9
84,10
84,11
84,8
85,11
85,10
85,9
86,1
87,1
87,2
87,5
88,1
89,3
89,2
90,7
90,1
91,9
91,11
91,10
91,8
92,3
93,8
93,5
94,8
94,9
94,5
95,8
95,5
95,1
96,9
96,8
96,11
96,1
97,1
97,7
98,16
98,8
98,11
98,9
99,1
99,2
99,7
100,8
100,2
100,5
100,3
101,1
101,2
102,1
103,1
103,2
103,3
104,16
104,11
104,10
105,3
106,11
106,1
107,1
107,11
107,15
108,1
108,3
108,9
109,3
109,7
110,3
111,1
111,3
111,14
111,7
112,8
112,1
113,1
113,2
113,5
113,7
114,2
114,5
114,3
115,2
115,1
115,5
116,16
116,11
116,10
117,1
117,11
118,1
118,6
118,15
119,9
119,5
120,8
120,9
120,12
121,9
121,5
122,1
122,15
123,8
123,11
124,3
125,1
126,5
127,16
127,11
127,1
127,17
128,8
128,2
128,5
129,8
129,1
130,16
130,4
130,17
131,16
131,12
132,1
132,15
133,3
134,8
134,2
134,1
134,5
135,13
136,9
136,8
136,11
137,1
137,15
137,7
138,3
139,16
139,11
139,10
139,3
140,9
140,11
140,10
142,3
142,6
143,1
143,5
144,1
144,3
145,1
145,15
146,1
147,1
147,7
148,16
148,11
148,3
149,11
149,9
149,5
150,3
150,1
151,3
151,17
151,13
151,11
152,5
152,2
152,1
153,3
153,15
154,3
155,15
155,1
156,11
156,1
156,15
157,16
157,9
157,11
158,1
158,2
158,5
159,11
159,3
159,9
159,8
160,8
160,3
160,2
161,1
162,1
162,17
162,16
162,10
163,1
163,2
163,5
164,1
164,5
164,6
165,17
165,4
165,3
166,16
166,3
166,11
166,10
167,2
167,5
168,1
169,3
169,1
170,1
170,10
170,4
171,10
171,11
172,1
172,7
173,3
174,3
174,2
175,8
175,11
175,9
176,1
176,9
177,16
177,8
177,11
177,9
178,1
178,5
179,3
179,4
180,2
180,1
180,5
181,8
181,5
181,11
182,3
182,15
183,3
184,3
185,3
186,5
187,3
187,1
187,15
188,16
188,10
188,4
188,1
189,3
189,1
189,4
190,8
190,5
191,16
191,11
191,3
192,8
192,5
193,9
193,12
193,5
194,1
195,11
195,1
195,15
195,6
196,8
196,2
196,5
196,1
197,8
197,11
197,1
198,1
199,1
199,7
199,6
200,16
200,11
200,10
200,4
201,1
201,15
202,9
202,11
202,1
203,3
204,11
204,13
205,16
205,3
206,8
206,1
206,7
207,1
207,3
208,3
208,8
208,4
209,2
209,1
210,1
210,4
211,1
212,1
213,1
213,4
213,3
214,16
214,11
214,9
215,10
215,11
215,1
216,16
216,3
216,10
217,11
217,1
217,7
218,2
218,1
218,5
219,3
219,8
219,4
220,1
221,1
221,6
221,5
222,15
222,1
223,1
223,7
223,5
224,3
224,1
224,4
225,16
225,11
225,10
226,1
226,4
226,6
226,19
227,2
227,1
227,5
228,3
228,1
228,4
229,3
229,2
229,9
230,11
230,3
230,9
230,13
231,1
231,2
232,3
232,15
233,3
233,1
233,17
233,4
234,1
235,11
235,1
235,6
236,1
236,15
236,6
236,5
237,3
237,4
237,11
237,15
237,8
238,1
238,6
238,15
239,1
240,3
240,1
240,15
241,11
241,3
242,16
242,10
243,9
243,1
244,2
244,1
245,1
246,1
247,1
247,2
247,5
248,3
249,16
249,3
250,13
250,1
250,3
250,11
251,1
252,8
252,11
252,9
252,5
253,8
253,11
253,1
254,8
254,11
254,1
254,4
254,15
255,1
256,13
256,11
257,5
257,1
257,8
257,19
258,16
258,11
258,3
259,3
260,1
261,8
261,2
261,1
261,5
262,16
262,8
262,11
262,10
263,3
264,1
264,15
265,16
265,1
265,15
266,13
266,1
266,4
267,3
267,1
267,4
268,2
268,1
268,5
269,5
269,1
269,2
270,1
270,5
271,1
271,2
272,3
272,2
272,11
272,10
273,3
274,3
275,3
275,4
276,16
276,4
277,1
277,5
278,5
278,11
278,4
279,1
279,4
280,1
280,6
280,15
281,15
281,1
282,1
283,3
283,1
283,4
284,8
284,3
284,15
285,11
285,12
285,5
285,1
286,16
286,11
286,3
287,16
287,11
287,2
287,3
288,10
288,3
288,4
289,9
289,11
289,1
290,6
290,1
290,2
290,5
291,16
291,3
291,1
292,3
292,8
293,11
293,10
293,9
293,16
294,16
294,8
294,11
294,3
294,10
295,2
295,5
295,1
296,8
296,2
296,1
296,5
297,1
298,1
298,6
298,15
299,1
300,1
301,8
301,1
301,6
302,16
302,11
303,16
303,11
304,10
304,11
304,4
304,1
305,11
305,1
305,6
306,3
306,2
306,8
307,1
307,6
307,2
307,5
307,7
308,1
308,8
308,5
309,1
309,4
310,1
310,3
311,1
311,7
312,3
313,16
313,11
313,10
314,16
314,11
314,3
315,16
315,1
315,15
315,7
316,16
316,9
316,3
316,11
316,2
316,8
317,11
317,1
317,7
318,1
318,6
319,5
319,2
319,1
320,16
320,11
320,10
320,9
321,1
321,7
322,16
322,10
323,1
324,1
324,3
324,4
325,1
325,12
325,10
326,16
326,11
326,10
327,16
327,1
327,4
328,1
328,7
329,1
329,3
330,5
330,2
330,1
331,1
331,10
331,4
332,16
332,11
332,3
333,1
333,4
333,9
334,1
334,2
334,5
335,17
335,3
335,1
336,3
336,2
337,8
337,2
337,3
337,1
338,1
338,7
339,13
339,3
339,8
340,12
340,5
341,1
341,15
341,11
341,6
342,11
342,15
342,1
342,7
343,3
344,1
344,2
345,3
345,1
346,16
347,1
347,7
347,6
348,3
348,11
349,1
350,1
351,2
351,5
351,1
352,1
352,6
353,1
353,5
354,16
354,10
354,4
354,17
355,3
355,10
356,3
357,5
358,16
358,10
358,17
359,2
359,1
359,5
360,3
361,1
361,4
361,15
362,16
362,17
362,4
363,1
363,3
364,1
364,11
364,6
365,1
365,6
366,1
367,11
367,10
367,6
368,1
369,3
369,1
369,4
370,15
370,5
370,1
371,11
371,1
371,7
372,1
373,1
373,2
373,5
374,1
374,4
375,1
375,4
376,16
376,3
376,17
376,4
376,10
377,1
377,2
377,5
378,3
378,2
379,8
379,2
379,5
379,1
380,3
380,15
381,3
381,2
381,4
382,2
382,5
382,1
383,3
383,15
384,2
385,1
385,4
386,15
386,8
386,1
386,6
387,1
388,1
389,1
390,17
390,1
390,7
391,1
392,1
393,3
393,1
393,4
394,1
394,7
394,6
395,3
395,5
395,4
396,9
396,8
396,3
396,5
397,16
397,8
397,11
398,1
398,9
399,7
399,5
399,1
400,3
400,11
401,1
401,4
401,7
401,11
402,4
402,5
403,16
403,11
403,1
404,12
404,10
405,16
405,4
405,17
405,10
406,1
406,10
407,3
407,4
407,1
408,1
408,15
409,1
409,6
409,7
410,1
410,7
411,1
411,8
412,1
413,1
413,10
413,12
414,1
414,4
414,15
415,1
416,11
416,8
416,10
416,3
417,1
417,10
417,4
418,10
418,4
418,11
419,11
419,1
419,5
420,1
420,2
420,5
421,13
421,1
422,3
422,1
423,1
423,2
423,4
424,1
424,4
425,1
425,6
426,16
426,3
427,1
428,1
428,2
428,5
429,1
429,14
430,2
430,1
431,11
431,1
431,13
432,1
433,1
433,5
434,1
435,1
436,3
436,2
437,3
437,1
438,1
438,2
439,1
439,2
439,5
440,3
440,9
441,1
441,3
441,5
442,3
443,1
443,7
444,7
444,2
444,1
445,8
445,1
445,15
446,3
446,2
447,1
448,1
448,7
448,6
449,1
450,1
450,4
451,1
451,3
451,15
452,1
452,4
453,1
453,2
453,5
454,1
455,8
455,11
455,1
456,17
456,1
457,1
457,7
458,9
458,11
458,8
459,8
459,11
459,9
459,10
460,1
460,5
460,2
461,3
461,4
462,1
462,3
463,16
463,8
464,1
464,15
465,5
466,1
466,7
467,1
467,7
468,1
469,1
470,1
470,2
470,5
471,1
471,7
472,8
472,3
472,15
472,4
473,9
473,8
473,5
473,1
474,1
474,2
474,9
475,8
475,11
475,5
476,1
477,3
477,4
478,1
478,9
479,1
480,1
481,1
481,2
482,2
482,5
483,1
483,14
484,16
484,6
485,2
485,1
485,14
486,1
486,2
486,5
487,1
488,16
488,11
488,1
488,10
489,1
489,7
490,13
490,1
490,11
491,1
491,2
491,5
491,8
492,1
493,16
493,8
493,11
493,10
494,16
494,1
494,10
494,4
495,3
496,1
496,3
497,3
497,1
497,14
498,1
499,1
499,15
500,1
500,15
501,1
501,15
502,8
502,5
503,1
503,15
504,1
504,4
504,7
505,1
505,7
506,5
506,1
506,2
507,13
507,1
507,10
508,3
508,4
508,2
509,1
509,2
509,5
510,1
510,3
511,1
512,1
513,5
513,11
513,1
514,16
514,8
514,1
514,10
515,3
516,1
517,1
517,15
518,7
518,3
518,1
518,2
519,7
519,15
519,6
519,1
520,1
520,15
520,4
521,13
521,8
521,1
522,1
522,4
523,16
523,8
523,9
523,5
524,1
525,5
525,12
526,16
526,7
526,2
526,1
527,17
528,16
528,11
528,1
528,10
529,1
529,11
530,3
530,4
531,16
531,8
531,9
532,1
532,4
533,1
534,1
534,10
534,12
535,1
535,6
536,1
537,1
537,6
537,16
538,3
538,2
539,12
539,5
539,1
540,17
540,4
540,1
541,5
541,1
541,2
542,11
542,3
542,1
542,14
543,1
543,9
544,3
544,2
545,1
545,5
545,6
545,8
546,1
546,15
547,16
547,10
548,1
548,5
549,1
549,5
550,1
550,4
551,1
552,2
552,1
552,5
553,2
553,1
553,5
554,1
555,3
555,4
556,1
557,1
557,6
557,15
558,3
558,10
559,3
560,3
560,1
561,12
561,5
562,3
562,1
563,1
564,1
564,4
564,15
565,3
565,1
565,4
566,13
566,1
567,1
567,3
567,4
568,3
569,1
570,8
570,11
570,3
571,1
571,4
571,15
572,2
572,1
572,5
573,1
574,13
574,11
575,1
575,4
575,2
576,1
576,4
576,11
577,3
577,1
577,5
578,1
578,15
579,1
580,1
580,4
580,15
581,16
581,1
581,6
581,4
582,1
582,2
583,1
583,2
584,11
584,1
584,10
585,12
585,5
586,2
586,3
586,5
586,1
587,1
588,16
588,1
588,12
588,9
589,1
589,3
589,15
590,1
591,2
591,1
591,5
592,3
592,4
593,1
593,17
593,4
594,1
595,1
595,15
595,6
596,1
597,1
597,12
597,5
598,1
599,1
600,1
600,8
600,11
601,16
601,11
601,3
602,9
602,11
602,1
603,9
603,11
603,1
604,1
604,2
605,3
605,11
605,2
605,10
606,1
606,9
606,5
607,3
607,1
608,4
608,3
608,1
609,3
609,1
610,2
610,1
610,4
611,1
612,1
612,3
612,15
613,1
613,9
614,10
614,1
614,4
615,1
615,4
616,1
616,3
617,7
617,6
617,4
617,3
617,1
618,1
618,5
618,15
619,1
619,3
619,2
619,10
620,6
620,1
620,4
621,1
622,1
622,7
623,1
624,1
625,1
626,8
626,1
626,2
626,5
627,1
628,11
628,8
628,1
628,10
629,9
629,10
629,3
629,11
630,4
630,1
631,10
631,11
631,8
632,1
632,6
632,7
633,1
633,7
634,13
634,3
634,11
635,1
635,15
636,1
637,7
637,1
637,14
638,3
639,1
640,3
641,8
641,2
641,1
641,5
642,3
643,3
643,8
644,4
644,3
644,1
645,1
646,16
646,11
646,10
647,1
647,2
648,6
648,8
648,11
648,15
648,1
649,1
649,3
649,15
650,1
650,6
651,14
651,1
651,3
652,1
653,1
653,5
653,15
654,16
654,8
654,9
655,3
655,1
655,4
655,7
656,1
656,7
657,3
657,1
658,1
658,4
659,3
659,15
660,1
661,1
662,8
662,11
662,9
662,10
663,2
663,3
663,5
664,10
664,12
665,16
665,3
666,2
666,1
666,7
667,3
668,8
668,2
668,5
