name_cz,name_en,release_year
Vykoupení z věznice Shawshank,The Shawshank Redemption,1994
Forrest Gump,Forrest Gump,1994
Zelená míle,The Green Mile,1999
Sedm,Se7en,1995
Přelet nad kukaččím hnízdem,One Flew over the Cuckoo's Nest,1975
Schindlerův seznam,Schindler's List,1993
Kmotr,The Godfather,1972
Dvanáct rozhněvaných mužů,12 Angry Men,1957
Nedotknutelní,The Intouchables,2011
Pelíšky,Cosy Dens,1999
Terminátor 2: Den zúčtování,Terminator 2: Judgment Day,1991
Pán prstenů: Společenstvo Prstenu,The Lord of the Rings: The Fellowship of the Ring,2001
Pulp Fiction: Historky z podsvětí,Pulp Fiction,1994
Pán prstenů: Návrat krále,The Lord of the Rings: The Return of the King,2003
Kmotr II,The Godfather: Part II,1974
Temný rytíř,The Dark Knight,2008
Mlčení jehňátek,The Silence of the Lambs,1991
Tenkrát na Západě,Once Upon a Time in the West,1968
Matrix,The Matrix,1999
Gran Torino,Gran Torino,2008
"Hodný, zlý a ošklivý","The Good, the Bad and the Ugly",1966
Dobyvatelé ztracené archy,Raiders of the Lost Ark,1981
Rain Man,Rain Man,1988
Sedm statečných,The Magnificent Seven,1960
Vyšší princip,Higher Principle,1960
Indiana Jones a Poslední křížová výprava,Indiana Jones and the Last Crusade,1989
Vetřelec,Alien,1979
Vetřelci,Aliens,1986
Rivalové,Rush,2013
Le Mans '66,Ford v Ferrari,2019
Smrtonosná past,Die Hard,1988
Podraz,The Sting,1973
Zachraňte vojína Ryana,Saving Private Ryan,1998
S čerty nejsou žerty,Give the Devil His Due,1984
Leon,Léon: The Professional,1994
"„Marečku, podejte mi pero!“","Marecek, Pass Me the Pen!",1976
Amadeus,Amadeus,1984
Obecná škola,The Elementary School,1991
Star Wars: Epizoda V - Impérium vrací úder,Star Wars: Episode V - The Empire Strikes Back,1980
L. A. - Přísně tajné,L.A. Confidential,1997
Cesta do hlubin študákovy duše,Journey into the Depth of the Student's Soul,1939
Butch Cassidy a Sundance Kid,Butch Cassidy and the Sundance Kid,1969
Pán prstenů: Dvě věže,The Lord of the Rings: The Two Towers,2002
Návrat do budoucnosti,Back to the Future,1985
Počátek,Inception,2010
Gladiátor,Gladiator,2000
Čistá duše,A Beautiful Mind,2001
Město bohů,City of God,2002
Pianista,The Pianist,2002
Spalovač mrtvol,The Cremator,1968
Tanec s vlky,Dances with Wolves,1990
Vesničko má středisková,My Sweet Little Village,1985
Šestý smysl,The Sixth Sense,1999
Nespoutaný Django,Django Unchained,2012
Casino,Casino,1995
Prokletý ostrov,Shutter Island,2010
Klub rváčů,Fight Club,1999
Kult hákového kříže,American History X,1998
Statečné srdce,Braveheart,1995
Million Dollar Baby,Million Dollar Baby,2004
Dobrý Will Hunting,Good Will Hunting,1997
Nelítostný souboj,Heat,1995
Život je krásný,Life Is Beautiful,1997
Psycho,Psycho,1960
Dokonalý trik,The Prestige,2006
Četa,Platoon,1986
12 úkolů pro Asterixe,The Twelve Tasks of Asterix,1976
Klaus,Klaus,2019
Osvícení,The Shining,1980
Smrtonosná zbraň,Lethal Weapon,1987
Hon,The Hunt,2012
Prázdniny v Římě,Roman Holiday,1953
Shrek,Shrek,2001
Star Wars: Epizoda IV - Nová naděje,Star Wars: Episode IV - A New Hope,1977
Na samotě u lesa,Seclusion Near a Forest(festivalový název),1976
Někdo to rád horké,Some Like It Hot,1959
Kladivo na čarodějnice,Witchhammer,1969
Motýlek,Papillon,1973
Requiem za sen,Requiem for a Dream,2000
Mafiáni,Goodfellas,1990
Coco,Coco,2017
U pokladny stál...,He Stood at the Till,1939
Tenkrát v Americe,Once Upon a Time in America,1984
Star Wars: Epizoda III - Pomsta Sithů,Star Wars: Episode III - Revenge of the Sith,2005
Cesta do pravěku,Journey to the Beginning of Time,1955
Warrior,Warrior,2011
Obvyklí podezřelí,The Usual Suspects,1995
Americká krása,American Beauty,1999
Podfu(c)k,Snatch,2000
Bohemian Rhapsody,Bohemian Rhapsody,2018
Star Wars: Epizoda VI - Návrat Jediů,Star Wars: Episode VI - Return of the Jedi,1983
Byl jednou jeden král...,"Once Upon a Time, There Was a King...",1954
Bourneovo ultimátum,The Bourne Ultimatum,2007
Terminátor,The Terminator,1984
Uprchlík,The Fugitive,1993
Duna: Část druhá,Dune: Part Two,2024
Čas probuzení,Awakenings,1990
Spider-Man: Napříč paralelními světy,Spider-Man: Across the Spider-Verse,2023
"Chyť mě, když to dokážeš",Catch Me If You Can,2002
Poslední skaut,The Last Boy Scout,1991
Frajer Luke,Cool Hand Luke,1967
25 let neviny,25 Years of Innocence,2020
Trainspotting,Trainspotting,1996
Princezna Mononoke,Princess Mononoke,1997
Světáci,Men About Town,1969
Medvěd,"V kinech od27.10.1989
										TriStar Pictures",1988
Hanebný pancharti,Inglourious Basterds,2009
Truman Show,The Truman Show,1998
"Jára Cimrman ležící, spící","Jára Cimrman Lying, Sleeping",1983
Škola základ života,School Is the Foundation of Life,1938
Zelená kniha,Green Book,2018
Sedm samurajů,Seven Samurai,1954
Americký gangster,American Gangster,2007
Sbal prachy a vypadni,"Lock, Stock and Two Smoking Barrels",1998
Zjizvená tvář,Scarface,1983
Cesta do fantazie,Spirited Away,2001
Třináct životů,Thirteen Lives,2022
Černý jestřáb sestřelen,Black Hawk Down,2001
12 opic,12 Monkeys,1995
Predátor,Predator,1987
Osudový dotek,The Butterfly Effect,2004
Obchod na korze,The Shop on Main Street,1965
Batman začíná,Batman Begins,2005
"Vrchní, prchni!","Run, Waiter, Run!",1980
Rocky,Rocky,1976
Memento,Memento,2000
Lví král,The Lion King,1994
Smrtonosná zbraň 2,Lethal Weapon 2,1989
Top Gun: Maverick,Top Gun: Maverick,2022
Sněhurka a sedm trpaslíků,Snow White and the Seven Dwarfs,1937
Čarodějův učeň,The Sorcerer's Apprentice,1977
Ponorka,The Boat,1981
Sám doma,Home Alone,1990
Temný rytíř povstal,The Dark Knight Rises,2012
Pro pár dolarů navíc,For a Few Dollars More,1965
Na hraně zítřka,Edge of Tomorrow,2014
Hotel Rwanda,"V kinech od04.02.2005
										Metro-Goldwyn-Mayer (MGM)",2004
Nejistá sezóna,An Uncertain Season,1987
Jak vycvičit draka,How to Train Your Dragon,2010
Vynález zkázy,Invention for Destruction,1958
Tři oříšky pro Popelku,Three Wishes for Cinderella,1973
Císařův pekař - Pekařův císař,The Emperor's Baker - The Baker's Emperor,1951
Hra,The Game,1997
Smrt krásných srnců,Forbidden Dreams,1986
Olověná vesta,Full Metal Jacket,1987
Černobílý svět,The Help,2011
Sloní muž,The Elephant Man,1980
Hledá se Nemo,Finding Nemo,2003
Jurský park,Jurassic Park,1993
Kolja,Kolya,1996
Limonádový Joe aneb Koňská opera,Lemonade Joe,1964
Zmizení,Prisoners,2013
Dobrý voják Švejk,The Good Soldier Schweik,1956
Život Briana,Life of Brian,1979
Apokalypsa,Apocalypse Now,1979
Most přes řeku Kwai,The Bridge on the River Kwai,1957
Rozzum v divočině,The Wild Robot,2024
Skrytá identita,The Departed,2006
Návrat do budoucnosti II,Back to the Future Part II,1989
Gentlemani,The Gentlemen,2019
Společnost mrtvých básníků,Dead Poets Society,1989
Pink Floyd: The Wall,Pink Floyd: The Wall,1982
Carlitova cesta,Carlito's Way,1993
Vlny,Waves,2024
Zpívání v dešti,Singin' in the Rain,1952
Ratatouille,Ratatouille,2007
Gauneři,Reservoir Dogs,1992
Všichni dobří rodáci,All My Good Countrymen,1968
Kid,The Kid,1921
Život je krásný,It's a Wonderful Life,1946
Harry Potter a vězeň z Azkabanu,Harry Potter and the Prisoner of Azkaban,2004
Králova řeč,"V kinech od26.11.2010
										The Weinstein Company",2010
Slavnosti sněženek,The Snowdrop Festival,1983
Četník ze Saint Tropez,The Troops of St. Tropez,1964
Avengers: Infinity War,Avengers: Infinity War,2018
Svět podle Prota,K-PAX,2001
Spider-Man: Paralelní světy,Spider-Man: Into the Spider-Verse,2018
Ucho,The Ear,1970
Nebe a dudy,,1941
Obchodník se smrtí,Lord of War,2005
Skála,The Rock,1996
Poslušně hlásím,"The Good Soldier Schweik 2: Beg to Report, Sir",1957
Česká soda,Czech Soda,1998
Přednosta stanice,Station Master,1941
Ducháček to zařídí,Ducháček Will Fix It,1938
Okno do dvora,Rear Window,1954
Diktátor,The Great Dictator,1940
Kimi no na wa.,Your Name.,2016
Láska nebeská,"V kinech od08.12.2023
										Universal Pictures US",2003
Agent bez minulosti,The Bourne Identity,2002
Toy Story: Příběh hraček,Toy Story,1995
Bournův mýtus,The Bourne Supremacy,2004
Věc,The Thing,1982
Whiplash,Whiplash,2014
Velký útěk,The Great Escape,1963
96 hodin,"V kinech od30.01.2009
										20th Century Fox",2008
Rambo: První krev,First Blood,1982
Hačikó - příběh psa,Hachiko: A Dog's Story,2009
Těžká váha,Cinderella Man,2005
Howlův kráčející hrad,Howl's Moving Castle,2004
Stezky slávy,Paths of Glory,1957
Interstellar,Interstellar,2014
"Jáchyme, hoď ho do stroje!","Joachim, Put It in the Machine",1974
Poklad na Stříbrném jezeře,Treasure of Silver Lake,1962
Stvoření světa,The Creation of the World,1957
Ip Man,Yip Man,2008
Absolvent,The Graduate,1967
Zvíře,Animal,1977
Příběh z Bronxu,A Bronx Tale,1993
Vzpomínky na lásku,A Moment to Remember,2004
Tichá bolest,Silent Pain,1990
Sunset Boulevard,Sunset Boulevard,1950
Bio Ráj,Cinema Paradiso,1988
VALL-I,WALL-E,2008
Nekonečný příběh,The NeverEnding Story,1984
Příšerky s.r.o.,"Monsters, Inc.",2001
Útěk do divočiny,Into the Wild,2007
Neúplatní,The Untouchables,1987
Muž z Acapulca,The Man from Acapulco,1973
Kramerová versus Kramer,Kramer vs. Kramer,1979
JFK,JFK,1991
Nebeští jezdci,Riders of the Sky,1968
Ve jménu otce,In the Name of the Father,1993
Moderní doba,Modern Times,1936
Vlkochodci,Wolfwalkers,2020
Titanic,Titanic,1997
Joker,Joker,2019
Lepší už to nebude,As Good as It Gets,1997
Adéla ještě nevečeřela,Adela Has Not Had Her Supper Yet,1978
Návrat do budoucnosti III,Back to the Future Part III,1990
Kmotr III,The Godfather: Part III,1990
Velký flám,Don't Look Now: We're Being Shot At,1966
My Fair Lady,My Fair Lady,1964
Zlo mezi námi,,2003
Ben Hur,Ben-Hur,1959
Atentát,The Assassination,1964
Frigo na mašině,The General,1926
Norimberský proces,Judgment at Nuremberg,1961
Philadelphia,Philadelphia,1993
Musíme si pomáhat,,2000
Páni kluci,Gentlemen Boys,1975
Fimfárum Jana Wericha,,2002
Metropolis,,1927
Dva muži ve městě,Two Men in Town,1973
Bídníci,,1958
Ten den přijde,,2016
Volný pád,Falling Down,1993
Kulový blesk,Ball Lightning,1978
Mach a Šebestová k tabuli!,,1985
Malý velký muž,Little Big Man,1970
Jean od Floretty,,1986
X-Men: První třída,X-Men: First Class,2011
Poslední samuraj,The Last Samurai,2003
Poslední Mohykán,The Last of the Mohicans,1992
Co žere Gilberta Grapea,What's Eating Gilbert Grape,1993
Vinnetou,Apache Gold,1963
Skleněné peklo,The Towering Inferno,1974
Asterix v Británii,Asterix in Britain,1986
Skřivánci na niti,Larks on a String,1969
O myších a lidech,Of Mice and Men,1992
Profesionál,The Professional,1981
Laputa: Nebeský zámek,Castle in the Sky,1986
Happy end,Happy End,1967
Pahorek,The Hill,1965
Hrob světlušek,Grave of the Fireflies,1988
Velká země,The Big Country,1958
